INDICATOR	Indicator	LOCATION	Country	TIME	Time	Value	Flag Codes	Flags
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CHN	China	1998	1998	5210475.751		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CHN	China	1999	1999	6417330.992		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CHN	China	2000	2000	6302486.596		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CHN	China	2001	2001	7515755.967		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CHN	China	2002	2002	9970190.173		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CHN	China	2003	2003	12267392.41		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CHN	China	2004	2004	14748443.93		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CHN	China	2005	2005	15365937.32		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CHN	China	2006	2006	17206352.67		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CHN	China	2007	2007	15594277.3		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CHN	China	2008	2008	16874365.24		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CHN	China	2009	2009	21469106.39		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CHN	China	2010	2010	24552585.96		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CHN	China	2011	2011	26120701.48		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CHN	China	2012	2012	28824030.36		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CHN	China	2013	2013	30796538.52		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CHN	China	2014	2014	33658083.72		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CHN	China	2015	2015	36949935.81		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CRI	Costa Rica	2006	2006	114313.2175		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	CRI	Costa Rica	2007	2007	78432.53233		
